
"id_pos","x","y","distancia","correct_x","correct_y","ap1","ap2","ap3","tempo"
"15","15","0","22.4794","0","2","-83","-35","-73","117"
"15","15","3","16.6433","0","2","-71","-42","-75","117"
"15","18","0","21.8466","0","2","-74","-37","-64","117"
"15","18","3","22.5175","0","2","-74","-36","-64","117"
"15","21","0","14.0522","0","2","-74","-45","-64","117"
"15","21","3","14.2127","0","2","-74","-45","-64","117"
"15","24","0","13.2229","0","2","-74","-46","-64","117"
"15","24","3","13.615","0","2","-74","-46","-64","117"
"15","27","0","15.9374","0","2","-74","-43","-64","117"
"15","27","3","13.1452","0","2","-74","-46","-64","117"
"15","30","0","8.00822","0","2","-74","-55","-64","117"
"15","30","3","12.9904","0","2","-74","-46","-64","117"
"15","33","0","13.7733","0","2","-74","-46","-64","117"
"15","33","3","8.18535","0","2","-74","-60","-64","117"
"15","36","0","14.5736","0","2","-65","-55","-79","117"
"15","36","3","7.95138","0","2","-74","-59","-64","117"
"16","0","0","24.8521","0","16","-75","-47","-64","156"
"16","0","3","14.742","0","16","-75","-56","-70","156"
"16","0","6","15.7782","0","16","-75","-55","-70","156"
"16","0","9","16.9931","0","16","-67","-61","-62","156"
"16","0","12","30.3315","0","16","-73","-41","-73","156"
"16","0","15","14.7309","0","16","-67","-65","-62","156"
"16","0","18","14.6969","0","16","-71","-65","-59","156"
"16","3","0","27.6645","0","16","-72","-52","-52","156"
"16","3","3","21.3785","0","16","-72","-63","-52","156"
"16","3","6","23.3504","0","16","-72","-58","-52","156"
"16","3","9","19.73","0","16","-72","-69","-52","156"
"16","3","12","20.3958","0","16","-72","-66","-52","156"
"16","3","15","15.267","0","16","-71","-64","-59","156"
"16","3","18","13.5647","0","16","-71","-69","-59","156"
"16","6","0","23.6701","0","16","-83","-48","-73","156"
"16","6","3","15.3623","0","16","-83","-57","-73","156"
"16","9","0","22.3424","0","16","-83","-50","-73","156"
"16","9","3","15.8411","0","16","-83","-56","-73","156"
"16","12","0","24.5892","0","16","-83","-47","-73","156"
"16","12","3","27.5454","0","16","-83","-44","-73","156"
"16","15","0","36.1293","0","16","-83","-35","-73","156"
"16","15","3","29.8831","0","16","-71","-42","-75","156"
"16","18","0","35.3073","0","16","-74","-37","-64","156"
"16","18","3","36.0052","0","16","-74","-36","-64","156"
"16","21","0","26.9097","0","16","-74","-45","-64","156"
"16","21","3","27.0924","0","16","-74","-45","-64","156"
"16","24","0","25.9521","0","16","-74","-46","-64","156"
"16","24","3","26.4077","0","16","-74","-46","-64","156"
"16","27","0","29.0172","0","16","-74","-43","-64","156"
"16","27","3","25.8611","0","16","-74","-46","-64","156"
"16","30","0","18.1512","0","16","-74","-55","-64","156"
"16","30","3","25.6791","0","16","-74","-46","-64","156"
"16","33","0","26.5902","0","16","-74","-46","-64","156"
"16","33","3","13.3791","0","16","-74","-60","-64","156"
"16","36","0","21.6115","0","16","-65","-55","-79","156"
"16","36","3","13.9723","0","16","-74","-59","-64","156"
"17","0","0","20.1248","0","16","-75","-47","-64","161"
"17","0","3","9.82913","0","16","-75","-56","-70","161"
"17","0","6","10.8519","0","16","-75","-55","-70","161"
"17","0","9","14.4898","0","16","-67","-61","-62","161"
"17","0","12","25.3969","0","16","-73","-41","-73","161"
"17","0","15","13.4907","0","16","-67","-65","-62","161"
"17","0","18","13.4536","0","16","-71","-65","-59","161"
"17","3","0","24.4041","0","16","-72","-52","-52","161"
"17","3","3","19.9438","0","16","-72","-63","-52","161"
"17","3","6","21.0725","0","16","-72","-58","-52","161"
"17","3","9","19.9043","0","16","-72","-69","-52","161"
"17","3","12","19.6527","0","16","-72","-66","-52","161"
"17","3","15","13.6097","0","16","-71","-64","-59","161"
"17","3","18","13.7477","0","16","-71","-69","-59","161"
"17","6","0","18.8992","0","16","-83","-48","-73","161"
"17","6","3","11","0","16","-83","-57","-73","161"
"17","9","0","17.6039","0","16","-83","-50","-73","161"
"17","9","3","11.4325","0","16","-83","-56","-73","161"
"17","12","0","19.7992","0","16","-83","-47","-73","161"
"17","12","3","22.708","0","16","-83","-44","-73","161"
"17","15","0","31.2188","0","16","-83","-35","-73","161"
"17","15","3","25.0599","0","16","-71","-42","-75","161"
"17","18","0","30.4442","0","16","-74","-37","-64","161"
"17","18","3","31.1363","0","16","-74","-36","-64","161"
"17","21","0","22.1593","0","16","-74","-45","-64","161"
"17","21","3","22.3383","0","16","-74","-45","-64","161"
"17","24","0","21.223","0","16","-74","-46","-64","161"
"17","24","3","21.6682","0","16","-74","-46","-64","161"
"17","27","0","24.2281","0","16","-74","-43","-64","161"
"17","27","3","21.1342","0","16","-74","-46","-64","161"
"17","30","0","13.7733","0","16","-74","-55","-64","161"
"17","30","3","20.9566","0","16","-74","-46","-64","161"
"17","33","0","21.8466","0","16","-74","-46","-64","161"
"17","33","3","9.69536","0","16","-74","-60","-64","161"
